Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Bacillus_cereus_95,429,95
Bacillus_cereus_AH1134,422,103
Bacillus_cereus_AH1271,412,81
Bacillus_cereus_AH1272,415,95
Bacillus_cereus_AH1273,305,83
Bacillus_cereus_AH187_F4810_72,293,67
Bacillus_cereus_AH676,418,92
Bacillus_cereus_AND1407,417,90
Bacillus_cereus_ATCC_10876,408,95
Bacillus_cereus_ATCC_14579,406,91
Bacillus_cereus_ATCC_4342,387,82
Bacillus_cereus_B4264,396,82
Bacillus_cereus_B5_2,471,83
Bacillus_cereus_BAG1O_1,408,88
Bacillus_cereus_BAG1O_3,382,67
Bacillus_cereus_BAG1X1_1,397,88
Bacillus_cereus_BAG1X1_2,408,88
Bacillus_cereus_BAG1X1_3,410,89
Bacillus_cereus_BAG1X2_1,406,92
Bacillus_cereus_BAG1X2_2,400,89
Bacillus_cereus_BAG1X2_3,401,91
Bacillus_cereus_BAG2O_1,421,90
Bacillus_cereus_BAG2O_2,436,92
Bacillus_cereus_BAG2O_3,467,87
Bacillus_cereus_BAG2X1_1,405,77
Bacillus_cereus_BAG2X1_3,419,76
Bacillus_cereus_BAG3O_1,418,81
Bacillus_cereus_BAG3O_2,388,73
Bacillus_cereus_BAG3X2_1,462,88
Bacillus_cereus_BAG3X2_2,444,88
Bacillus_cereus_BAG4O_1,410,93
Bacillus_cereus_BAG4X12_1,394,88
Bacillus_cereus_BAG4X2_1,390,82
Bacillus_cereus_BAG5O_1,402,80
Bacillus_cereus_BAG5X12_1,391,85
Bacillus_cereus_BAG6O_1,419,85
Bacillus_cereus_BAG6O_2,461,91
Bacillus_cereus_BAG6X1_2,408,85
Bacillus_cereus_BDRD_Cer4,403,91
Bacillus_cereus_BDRD_ST196,475,83
Bacillus_cereus_BDRD_ST24,382,87
Bacillus_cereus_BDRD_ST26,392,79
Bacillus_cereus_BGSC_6E1,418,87
Bacillus_cereus_BMG1_7,395,87
Bacillus_cereus_E33L,404,84
Bacillus_cereus_F65185,416,93
Bacillus_cereus_F837,459,84
Bacillus_cereus_FORC_005,275,80
Bacillus_cereus_FRI_35,398,80
Bacillus_cereus_F,483,84
Bacillus_cereus_G9241,427,94
Bacillus_cereus_G9842,312,80
Bacillus_cereus_H3081_97,407,82
Bacillus_cereus_HD73,385,85
Bacillus_cereus_HuA2_1,412,83
Bacillus_cereus_HuA2_3,422,90
Bacillus_cereus_HuA2_4,443,87
Bacillus_cereus_HuA2_9,439,90
Bacillus_cereus_HuA3_9,408,89
Bacillus_cereus_HuA4_10,426,79
Bacillus_cereus_HuB13_1,407,89
Bacillus_cereus_HuB1_1,433,86
Bacillus_cereus_HuB2_9,406,82
Bacillus_cereus_HuB4_4,405,96
Bacillus_cereus_HuB5_5,395,86
Bacillus_cereus_IS075,401,84
Bacillus_cereus_IS195,420,88
Bacillus_cereus_IS845_00,459,90
Bacillus_cereus_ISP2954,386,85
Bacillus_cereus_ISP3191,398,84
Bacillus_cereus_K_5975c,396,93
Bacillus_cereus_LCT_BC244,392,81
Bacillus_cereus_MC118,465,88
Bacillus_cereus_MC67,474,87
Bacillus_cereus_MSX_A12,419,85
Bacillus_cereus_MSX_A1,387,88
Bacillus_cereus_MSX_D12,415,87
Bacillus_cereus_NC7401,444,87
Bacillus_cereus_NVH0597_99,426,86
Bacillus_cereus_Q1,414,83
Bacillus_cereus_R309803,420,93
Bacillus_cereus_Rock1_15,403,94
Bacillus_cereus_Rock1_3,416,85
Bacillus_cereus_Rock3_28,328,92
Bacillus_cereus_Rock3_29,407,86
Bacillus_cereus_Rock3_42,412,84
Bacillus_cereus_Rock3_44,351,79
Bacillus_cereus_Rock4_18,406,95
Bacillus_cereus_Rock4_2,421,95
Bacillus_cereus_SJ1,310,76
Bacillus_cereus_TIAC219,426,95
Bacillus_cereus_VD014,403,89
Bacillus_cereus_VD021,392,85
Bacillus_cereus_VD022,416,97
Bacillus_cereus_VD045,390,88
Bacillus_cereus_VD048,401,82
Bacillus_cereus_VD102,410,82
Bacillus_cereus_VD107,432,83
Bacillus_cereus_VD115,405,84
Bacillus_cereus_VD118,428,91
Bacillus_cereus_VD131,404,84
Bacillus_cereus_VD133,378,85
Bacillus_cereus_VD136,310,75
Bacillus_cereus_VD140,391,87
Bacillus_cereus_VD142,397,84
Bacillus_cereus_VD146,460,91
Bacillus_cereus_VD148,407,87
Bacillus_cereus_VD154,400,91
Bacillus_cereus_VD156,414,93
Bacillus_cereus_VD166,403,91
Bacillus_cereus_VD169,396,91
Bacillus_cereus_VD184,386,80
Bacillus_cereus_VD196,403,93
Bacillus_cereus_VD200,412,91
Bacillus_cereus_VD214,412,81
Bacillus_cereus_VDM006,401,83
Bacillus_cereus_VDM021,398,84
Bacillus_cereus_VDM034,427,86
Bacillus_cereus_VDM053,404,87
Bacillus_cereus_VDM062,482,86
Bacillus_cereus_W,409,87
Bacillus_cereus_biovar_anthracis_str_CI,393,84
Bacillus_cereus_m1293,413,93
Bacillus_cereus_m1550,408,91
Bacillus_cereus_str_Schrouff,404,94
Bacillus_cereus_subsp_cytotoxis_NVH_391_98,446,87
Bacillus_clausii_KSM_K16,470,120
Bacillus_endophyticus_2102,454,107
Bacillus_firmus_DS1,432,94
Bacillus_flexus_27Col1_1E,436,97
Bacillus_fordii_DSM_16014,442,106
Bacillus_halodurans_C_125,469,111
Bacillus_halotolerans_RRC_101,427,103
Bacillus_infantis_NRRL_B_14911,427,101
Bacillus_kwashiorkori_SIT6,392,103
