Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Bacillus_pseudomycoides_Rock3_17,325,86
Bacillus_pumilus_ATCC_7061,401,103
Bacillus_pumilus_SAFR_032,442,95
Bacillus_pumilus_TUAT1,343,103
Bacillus_rubiinfantis_mt2,338,110
Bacillus_smithii_7_3_47FAA,364,111
Bacillus_sonorensis_L12,384,99
Bacillus_sp_7_6_55CFAA_CT2,298,94
Bacillus_sp_B_jedd,450,124
Bacillus_subtilis_BSn5,334,104
Bacillus_subtilis_B_1,305,89
Bacillus_subtilis_QB928,352,106
Bacillus_subtilis_str_168,392,107
Bacillus_subtilis_subsp_natto_BEST195,337,96
Bacillus_subtilis_subsp_spizizenii_ATCC_6633,341,98
Bacillus_subtilis_subsp_spizizenii_DV1_B_1,326,94
Bacillus_subtilis_subsp_spizizenii_TU_B_10,322,92
Bacillus_subtilis_subsp_spizizenii_str_W23,346,97
Bacillus_subtilis_subsp_subtilis_516_BAMY_102_633920_16710904,334,104
Bacillus_subtilis_subsp_subtilis_6051_HGW,355,102
Bacillus_subtilis_subsp_subtilis_str_BAB_1,352,100
Bacillus_subtilis_subsp_subtilis_str_BSP1,348,98
Bacillus_subtilis_subsp_subtilis_str_JH642,345,103
Bacillus_subtilis_subsp_subtilis_str_NCIB_3610,330,92
Bacillus_subtilis_subsp_subtilis_str_RO_NN_1,326,96
Bacillus_subtilis_subsp_subtilis_str_SMY,347,97
Bacillus_testis_DSM_101190,514,148
Bacillus_thermoamylovorans_1A1,441,97
Bacillus_thuringiensis_BMB171,297,87
Bacillus_thuringiensis_Bt407,290,87
Bacillus_thuringiensis_HD571,288,88
Bacillus_thuringiensis_HD_771,318,90
Bacillus_thuringiensis_HD_789,312,77
Bacillus_thuringiensis_IBL_200,313,92
Bacillus_thuringiensis_IBL_4222,329,89
Bacillus_thuringiensis_MC28,320,91
Bacillus_thuringiensis_serovar_andalousiensis_BGSC_4AW1,298,85
Bacillus_thuringiensis_serovar_berliner_ATCC_10792,319,93
Bacillus_thuringiensis_serovar_chinensis_CT_43,313,89
Bacillus_thuringiensis_serovar_finitimus_YBT_020,313,86
Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1,308,92
Bacillus_thuringiensis_serovar_konkukian_str_97_27,304,88
Bacillus_thuringiensis_serovar_kurstaki_str_HD73,302,89
Bacillus_thuringiensis_serovar_kurstaki_str_T03a001,294,84
Bacillus_thuringiensis_serovar_monterrey_BGSC_4AJ1,320,88
Bacillus_thuringiensis_serovar_pakistani_str_T13001,296,83
Bacillus_thuringiensis_serovar_pondicheriensis_BGSC_4BA1,305,85
Bacillus_thuringiensis_serovar_pulsiensis_BGSC_4CC1,331,90
Bacillus_thuringiensis_serovar_thuringiensis_str_IS5056,313,89
Bacillus_thuringiensis_serovar_thuringiensis_str_T01001,348,98
Bacillus_thuringiensis_serovar_tochigiensis_BGSC_4Y1,294,86
Bacillus_thuringiensis_str_Al_Hakam,353,88
Bacillus_timonensis_10403023,439,108
Bacillus_toyonensis_BAG1O_2,313,90
Bacillus_toyonensis_HuB4_10,334,90
Bacillus_vallismortis_DV1_F_3,425,107
Bacillus_velezensis_AS433,315,89
Bacillus_velezensis_L_H15,325,94
Bacillus_velezensis_UCMB5036,323,95
Bacillus_wiedmannii_BAG2X1_2,322,76
Bacillus_wiedmannii_BAG5X2_1,323,83
Bacillus_wiedmannii_BAG6X1_1,330,83
Bacillus_wiedmannii_MM3,405,84
Bacteroides_acidifaciens_JCM_10556,331,91
Bacteroides_barnesiae_DSM_18169_JCM_13652,395,78
Bacteroides_caccae_ATCC_43185,431,82
Bacteroides_caccae_CL03T12C61,495,83
Bacteroides_caecimuris_I48,431,81
Bacteroides_cellulosilyticus_CL02T12C19,420,94
Bacteroides_cellulosilyticus_DSM_14838,421,90
Bacteroides_cellulosilyticus_WH2,368,89
Bacteroides_clarus_YIT_12056,420,79
Bacteroides_coprocola_M16_DSM_17136,401,71
Bacteroides_coprophilus_DSM_18228,416,74
Bacteroides_coprosuis_DSM_18011,402,91
Bacteroides_dorei_CL02T00C15,420,101
Bacteroides_dorei_CL02T12C06,428,106
Bacteroides_dorei_CL03T12C01,469,96
Bacteroides_dorei_DSM_17855,424,97
Bacteroides_eggerthii_1_2_48FAA,394,78
Bacteroides_eggerthii_DSM_20697,397,78
Bacteroides_faecis_MAJ27,456,87
Bacteroides_finegoldii_DSM_17565,431,86
Bacteroides_fluxus_YIT_12057,436,79
Bacteroides_fragilis_3_1_12,424,83
Bacteroides_fragilis_638R,399,81
Bacteroides_fragilis_BOB25,409,89
Bacteroides_fragilis_CL03T00C08,499,86
Bacteroides_fragilis_CL03T12C07,492,79
Bacteroides_fragilis_CL05T00C42,552,83
Bacteroides_fragilis_CL05T12C13,501,87
Bacteroides_fragilis_CL07T00C01,487,86
Bacteroides_fragilis_CL07T12C05,487,81
Bacteroides_fragilis_HMW_610,484,84
Bacteroides_fragilis_HMW_615,489,80
Bacteroides_fragilis_HMW_616,506,79
Bacteroides_fragilis_NCTC_9343,430,90
Bacteroides_fragilis_YCH46,384,80
Bacteroides_fragilis_str_3397_T10,360,99
Bacteroides_fragilis_str_3986_T_B_9,412,90
Bacteroides_fragilis_str_DS_208,412,85
Bacteroides_gallinarum_DSM_18171_JCM_13658,402,73
Bacteroides_graminisolvens_DSM_19988,452,99
Bacteroides_helcogenes_P_36_108,384,71
Bacteroides_intestinalis_341_DSM_17393,410,84
Bacteroides_intestinalis_KLE1704,406,90
Bacteroides_luti_DSM_26991,361,70
Bacteroides_massiliensis_B84634,455,85
Bacteroides_neonati_MS4,379,75
Bacteroides_nordii_CL02T12C05,495,91
Bacteroides_oleiciplenus_YIT_12058,463,101
Bacteroides_ovatus_3_8_47FAA,493,61
Bacteroides_ovatus_ATCC_8483,425,85
Bacteroides_ovatus_CL02T12C04,433,79
Bacteroides_ovatus_CL03T12C18,438,95
Bacteroides_ovatus_SD_CC_2a,472,75
Bacteroides_ovatus_SD_CMC_3f,474,83
Bacteroides_pectinophilus_ATCC_43243,385,85
Bacteroides_plebeius_M12_DSM_17135,439,86
Bacteroides_propionicifaciens_DSM_19291_JCM_14649,422,91
Bacteroides_pyogenes_DSM20611,384,77
Bacteroides_pyogenes_F0041,349,64
Bacteroides_pyogenes_JCM_10003,395,72
Bacteroides_pyogenes_JCM_6292,407,90
Bacteroides_rodentium_JCM_16496,425,66
Bacteroides_salanitronis_DSM_18170,402,112
Bacteroides_salyersiae_CL02T12C01,427,89
Bacteroides_salyersiae_WAL_10018,430,81
Bacteroides_sartorii_JCM_17136,401,99
Bacteroides_sartorii_dnLKV3,412,98
Bacteroides_sp_14_A,353,93
Bacteroides_sp_1_1_14,412,82
Bacteroides_sp_1_1_30,459,91
Bacteroides_sp_1_1_6,446,89
Bacteroides_sp_20_3,452,86
Bacteroides_sp_2_1_22,405,80
Bacteroides_sp_2_1_33B,448,82
Bacteroides_sp_2_1_7,448,82
Bacteroides_sp_2_2_4,416,75
Bacteroides_sp_3_1_19,443,81
Bacteroides_sp_3_1_23,421,83
Bacteroides_sp_3_1_33FAA,408,89
Bacteroides_sp_3_1_40A,434,99
Bacteroides_sp_3_2_5,414,94
Bacteroides_sp_4_1_36,401,74
Bacteroides_sp_4_3_47FAA,427,94
Bacteroides_sp_9_1_42FAA,431,96
Bacteroides_sp_D1,416,82
Bacteroides_sp_D20,417,76
Bacteroides_sp_D22,422,77
Bacteroides_sp_D2,470,87
Bacteroides_sp_HPS0048,391,76
Bacteroides_stercoris_ATCC_43183,369,79
Bacteroides_stercoris_CC31F,449,67
Bacteroides_thetaiotaomicron_3731,393,78
Bacteroides_thetaiotaomicron_7330,378,71
Bacteroides_thetaiotaomicron_CL09T03C10,338,97
Bacteroides_thetaiotaomicron_VPI_5482,391,84
Bacteroides_thetaiotaomicron_dnLKV9,456,87
Bacteroides_timonensis_AP1,419,80
Bacteroides_uniformis_ATCC_8492,435,94
Bacteroides_uniformis_CL03T00C23,480,94
Bacteroides_uniformis_CL03T12C37,437,85
Bacteroides_uniformis_dnLKV2,462,84
Bacteroides_uniformis_str_3978_T3_i,328,71
Bacteroides_ureolyticus_DSM_20703,356,59
Bacteroides_vulgatus_ATCC_8482,423,85
Bacteroides_vulgatus_CL09T03C04,479,98
Bacteroides_vulgatus_PC510,489,106
Bacteroides_vulgatus_dnLKV7,426,97
Bacteroides_vulgatus_mpk,407,88
Bacteroides_xylanisolvens_CL03T12C04,486,95
Bacteroides_xylanisolvens_SD_CC_1b,443,84
Bacteroides_xylanisolvens_XB1A,460,78
Bacteroides_xylanolyticus_DSM_3808,426,97
Bacteroidetes_bacterium_oral_taxon_272_str_F0290,434,74
Bacteroidetes_oral_taxon_274_str_F0058,370,93
Barnesiella_intestinihominis_YIT_11860,357,70
Barnesiella_viscericola_DSM_18177,410,91
Bartonella_quintana_RM_11,411,59
Bartonella_quintana_Toulouse,295,55
Bdellovibrio_bacteriovorus_HD100,340,79
Bdellovibrio_bacteriovorus_SSB218315,331,85
Bdellovibrio_bacteriovorus_W,318,62
Bdellovibrio_bacteriovorus_str_Tiberius,388,86
Beduini_massiliensis_DSM_100188,453,127
Bifidobacterium_adolescentis_ATCC_15703,427,71
Bifidobacterium_adolescentis_BBMN23,301,65
Bifidobacterium_adolescentis_DSM_20087,408,68
Bifidobacterium_adolescentis_L2_32,496,78
Bifidobacterium_angulatum_DSM_20098,464,88
Bifidobacterium_angulatum_GT102,380,75
Bifidobacterium_animalis_RH,369,69
Bifidobacterium_animalis_lactis_AD011,414,80
Bifidobacterium_animalis_lactis_BB_12,360,71
Bifidobacterium_animalis_lactis_Bi_07,396,72
Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219,378,72
Bifidobacterium_animalis_lactis_CNCM_I_2494,375,70
Bifidobacterium_animalis_lactis_DSM_10140,390,72
Bifidobacterium_animalis_lactis_V9,372,70
Bifidobacterium_animalis_subsp_animalis_ATCC_25527,482,72
Bifidobacterium_animalis_subsp_animalis_ATCC_27672,372,72
Bifidobacterium_animalis_subsp_animalis_YL2,376,65
Bifidobacterium_animalis_subsp_lactis_B420,455,80
Bifidobacterium_animalis_subsp_lactis_BLC1,494,74
Bifidobacterium_animalis_subsp_lactis_BS_01,454,79
Bifidobacterium_animalis_subsp_lactis_HN019,506,76
Bifidobacterium_asteroides_DSM_20089,406,70
Bifidobacterium_asteroides_Hma3,424,67
Bifidobacterium_asteroides_PRL2011,356,58
Bifidobacterium_bifidum_156B,347,73
Bifidobacterium_bifidum_ATCC_29521,413,67
Bifidobacterium_bifidum_BGN4,420,65
Bifidobacterium_bifidum_LMG_13195,499,87
Bifidobacterium_bifidum_NCIMB_41171,420,73
Bifidobacterium_bifidum_PRL2010,394,69
Bifidobacterium_bifidum_S17,414,69
Bifidobacterium_boum_DSM_20432,478,70
Bifidobacterium_breve_12L,394,62
Bifidobacterium_breve_2L,407,63
Bifidobacterium_breve_689b,403,64
Bifidobacterium_breve_ACS_071_V_Sch8b,476,67
Bifidobacterium_breve_CECT_7263,492,68
Bifidobacterium_breve_DPC_6330,471,66
Bifidobacterium_breve_DSM_20213,506,71
Bifidobacterium_breve_HPH0326,398,62
Bifidobacterium_breve_JCM_7017,388,63
Bifidobacterium_breve_JCM_7019,397,61
Bifidobacterium_breve_MCC_0121,416,63
Bifidobacterium_breve_MCC_0305,400,61
Bifidobacterium_breve_MCC_0476,396,59
Bifidobacterium_breve_MCC_1094,411,61
Bifidobacterium_breve_MCC_1114,392,60
Bifidobacterium_breve_MCC_1128,415,62
Bifidobacterium_breve_MCC_1340,395,58
Bifidobacterium_breve_MCC_1454,392,59
Bifidobacterium_breve_MCC_1604,419,71
Bifidobacterium_breve_MCC_1605,389,55
Bifidobacterium_breve_NCFB_2258,401,64
Bifidobacterium_breve_UCC2003_NCIMB8807,393,59
Bifidobacterium_catenulatum_DSM_16992,468,65
Bifidobacterium_choerinum_DSM_20434,391,66
Bifidobacterium_coryneforme_Bma6,365,64
Bifidobacterium_coryneforme_DSM_20216,469,74
Bifidobacterium_dentium_ATCC_27678,451,67
Bifidobacterium_dentium_ATCC_27679,493,75
Bifidobacterium_dentium_Bd1,538,73
Bifidobacterium_dentium_JCM_1195_DSM_20436,394,56
Bifidobacterium_dentium_JCVIHMP022,523,80
Bifidobacterium_gallicum_DSM_20093,426,64
Bifidobacterium_indicum_LMG_11587_DSM_20214,325,66
Bifidobacterium_kashiwanohense_DSM_21854,412,69
Bifidobacterium_longum_BG7,407,62
Bifidobacterium_longum_BXY01,355,72
Bifidobacterium_longum_DJO10A,418,67
Bifidobacterium_longum_E18,414,75
Bifidobacterium_longum_NCC2705,481,80
Bifidobacterium_longum_infantis_157F_NC,471,64
Bifidobacterium_longum_infantis_ATCC_15697,427,73
Bifidobacterium_longum_longum_ATCC_55813,457,70
Bifidobacterium_longum_longum_BBMN68,416,69
Bifidobacterium_longum_longum_CCUG_52486,489,68
Bifidobacterium_longum_longum_JCM_1217,469,68
Bifidobacterium_longum_longum_JDM301,405,72
Bifidobacterium_longum_subsp_infantis_BT1,399,68
Bifidobacterium_longum_subsp_longum_1_6B,527,85
Bifidobacterium_longum_subsp_longum_2_2B,586,83
Bifidobacterium_longum_subsp_longum_35B,498,72
Bifidobacterium_longum_subsp_longum_44B,566,79
Bifidobacterium_longum_subsp_longum_CMCC_P0001,525,83
Bifidobacterium_longum_subsp_longum_F8,521,72
Bifidobacterium_longum_subsp_longum_KACC_91563,539,72
Bifidobacterium_longum_subsp_longum_NCIMB8809,354,69
Bifidobacterium_mongoliense_DSM_21395,488,77
Bifidobacterium_pseudocatenulatum_DSM_20438,473,67
Bifidobacterium_pseudocatenulatum_IPLA36007,367,64
Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099,450,52
Bifidobacterium_pullorum_DSM_20433,395,71
Bifidobacterium_pullorum_LMG_21816,398,87
Bifidobacterium_ruminantium_DSM_6489,396,95
Bifidobacterium_scardovii_JCM_12489,484,71
Bifidobacterium_sp_MSTE12,422,75
Bifidobacterium_stercoris_DSM_24849,387,87
Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837,484,82
Bifidobacterium_thermophilum_RBL67,447,67
Bilophila_sp_4_1_30,367,98
Bilophila_wadsworthia_3_1_6,419,51
Bilophila_wadsworthia_ATCC_49260,354,93
Bittarella_massiliensis_GD6,363,101
Blastococcus_massiliensis_AP3,371,87
Blautia_coccoides_YL58,356,109
Blautia_hansenii_VPI_C7_24_DSM_20583,382,120
Blautia_hydrogenotrophica_DSM_10507,415,114
Blautia_luti_DSM_14534,333,102
Blautia_massiliensis_GD9,307,97
Blautia_obeum_ATCC_29174,389,97
Blautia_producta_DSM_2950,424,116
Blautia_sp_YL58,357,106
Blautia_wexlerae_AGR2146,372,106
Blautia_wexlerae_DSM_19850,354,99
Bordetella_hinzii_F582,432,99
Bordetella_hinzii_OH87_BAL007II,486,84
Borkfalkia_ceftriaxoniphila_HDS1380,381,103
Bosea_thiooxidans_DSM_9653,365,110
Brachybacterium_paraconglomeratum_LC44,436,91
Brachyspira_aalborgi_513A,380,91
Brachyspira_aalborgi_PC2022III,459,85
Brachyspira_aalborgi_PC2777IV,456,98
Brachyspira_aalborgi_PC3053II,451,95
Brachyspira_aalborgi_PC3517II,438,96
Brachyspira_aalborgi_PC3714II,461,98
Brachyspira_aalborgi_PC390II,382,85
Brachyspira_aalborgi_PC3939II,432,93
Brachyspira_aalborgi_PC3997IV,429,85
Brachyspira_aalborgi_PC4226IV,435,96
Brachyspira_aalborgi_PC4580III,381,90
Brachyspira_aalborgi_PC4597II,469,86
Brachyspira_aalborgi_PC5099IV,386,89
Brachyspira_aalborgi_PC5538III_lc,360,77
Brachyspira_aalborgi_PC5587_p,420,87
Brachyspira_aalborgi_PC5587_u,455,91
Brachyspira_aalborgi_W1,475,99
Brachyspira_pilosicoli_95_1000,501,92
Brachyspira_pilosicoli_B2904,452,82
Brachyspira_pilosicoli_P43_6_78,503,92
Brachyspira_pilosicoli_WesB,516,93
Bradyrhizobium_elkanii_USDA_76,498,119
Bradyrhizobium_japonicum_E109,416,132
Bradyrhizobium_japonicum_USDA_110,404,121
Bradyrhizobium_japonicum_USDA_124,388,121
Bradyrhizobium_japonicum_USDA_6,497,130
Bradyrhizobium_japonicum_WSM2793,399,118
Bradyrhizobium_yuanmingense_BR3267,384,114
Bradyrhizobium_yuanmingense_CCBAU_05623,409,116
Bradyrhizobium_yuanmingense_CCBAU_25021,393,110
Bradyrhizobium_yuanmingense_CCBAU_35157,392,114
Brevibacillus_agri_5_2,396,105
Brevibacillus_agri_BAB_2500,378,111
Brevibacillus_borstelensis_AK1,365,108
Brevibacillus_brevis_FJAT_0809_GLX,440,105
Brevibacillus_brevis_NBRC_100599,398,119
Brevibacterium_casei_S18,412,103
Brevibacterium_linens_BL2,459,112
Brevibacterium_massiliense_5401308,351,79
Brevibacterium_senegalense_JC43,360,65
Brevundimonas_bacteroides_DSM_4726,405,103
Brevundimonas_diminuta_470_4,441,97
Brevundimonas_subvibrioides_ATCC_15264,352,111
Brochothrix_thermosphacta_DSM_20171,452,76
Bulleidia_extructa_W1219,413,82
Burkholderia_cenocepacia_H111,467,117
Burkholderia_cenocepacia_HI2424,439,98
Burkholderia_cenocepacia_J2315,507,113
Burkholderia_cenocepacia_MC0_3,423,94
Burkholderia_cenocepacia_PC184,497,115
Burkholderia_cepacia_GG4,426,97
Burkholderia_cepacia_LO6,414,93
Burkholderiales_bacterium_1_1_47,410,77
Burkholderiales_bacterium_YL45,371,84
Butyricicoccus_pullicaecorum_1_2,405,110
Butyricimonas_sp_Marseille_P2440,541,128
Butyricimonas_synergistica_DSM_23225,427,76
Butyricimonas_virosa_DSM_23226,401,79
Butyrivibrio_crossotus_DSM_2876,414,88
Butyrivibrio_fibrisolvens_16_4,398,67
Butyrivibrio_proteoclasticus_B316,435,111
Campylobacter_coli_1098,426,59
Campylobacter_coli_111_3,366,56
Campylobacter_coli_1148,396,56
Campylobacter_coli_132_6,375,52
Campylobacter_coli_1417,418,51
Campylobacter_coli_14983A,205,45
Campylobacter_coli_151_9,428,57
Campylobacter_coli_1891,385,53
Campylobacter_coli_1909,416,56
Campylobacter_coli_1948,421,54
Campylobacter_coli_1957,337,49
Campylobacter_coli_1961,357,55
Campylobacter_coli_202_04,345,67
Campylobacter_coli_2548,341,59
Campylobacter_coli_2553,374,54
Campylobacter_coli_2680,348,58
Campylobacter_coli_2685,348,57
Campylobacter_coli_2698,368,51
Campylobacter_coli_317_04,398,56
Campylobacter_coli_37_05,328,50
Campylobacter_coli_59_2,372,60
Campylobacter_coli_67_8,374,57
Campylobacter_coli_7_1,334,52
Campylobacter_coli_80352,360,65
Campylobacter_coli_84_2,356,54
Campylobacter_coli_86119,361,57
Campylobacter_coli_90_3,357,60
Campylobacter_coli_BFR_CA_9557,311,59
Campylobacter_coli_BIGS0003,375,54
Campylobacter_coli_H56,407,56
Campylobacter_coli_H6,357,53
Campylobacter_coli_H8,359,64
Campylobacter_coli_H9,361,68
Campylobacter_coli_JV20,270,47
Campylobacter_coli_LMG_23336,388,54
Campylobacter_coli_LMG_23341,321,55
Campylobacter_coli_LMG_23342,318,62
Campylobacter_coli_LMG_9853,319,50
Campylobacter_coli_LMG_9854,394,46
Campylobacter_coli_LMG_9860,348,59
Campylobacter_coli_RM2228,392,63
Campylobacter_coli_YH501,271,61
Campylobacter_coli_Z156,373,61
Campylobacter_coli_Z163,434,58
Campylobacter_concisus_13826,338,48
Campylobacter_concisus_UNSWCD,358,70
Campylobacter_curvus_525_92,286,44
Campylobacter_curvus_DSM_6644,439,68
Campylobacter_fetus_subsp_fetus_006A_0073,315,62
Campylobacter_fetus_subsp_fetus_82_40,350,48
Campylobacter_fetus_subsp_venerealis_NCTC_10354,377,56
Campylobacter_gracilis_RM3268,372,51
Campylobacter_hominis_ATCC_BAA_381,348,43
Campylobacter_hyointestinalis_subsp_hyointestinalis_LMG_9260,446,72
Campylobacter_jejuni_CJM1cam,295,53
Campylobacter_jejuni_NCTC11351,254,51
Campylobacter_jejuni_RM1221,332,65
Campylobacter_jejuni_jejuni_81_176,289,46
Campylobacter_jejuni_jejuni_ICDCCJ07004,251,43
Campylobacter_jejuni_jejuni_M1,317,47
Campylobacter_jejuni_jejuni_NCTC_11168,258,39
Campylobacter_jejuni_str_NCCP_No_15742,408,60
Campylobacter_jejuni_subsp_doylei_269_97,417,55
Campylobacter_jejuni_subsp_jejuni_04197,370,68
Campylobacter_jejuni_subsp_jejuni_04199,376,77
Campylobacter_jejuni_subsp_jejuni_110_21,371,66
Campylobacter_jejuni_subsp_jejuni_1213,365,66
Campylobacter_jejuni_subsp_jejuni_129_258,397,57
Campylobacter_jejuni_subsp_jejuni_1336,359,52
Campylobacter_jejuni_subsp_jejuni_140_16,335,60
Campylobacter_jejuni_subsp_jejuni_1798,359,67
Campylobacter_jejuni_subsp_jejuni_1854,357,58
Campylobacter_jejuni_subsp_jejuni_1893,393,57
Campylobacter_jejuni_subsp_jejuni_1997_11,320,49
Campylobacter_jejuni_subsp_jejuni_1997_1,352,62
Campylobacter_jejuni_subsp_jejuni_1997_7,396,57
Campylobacter_jejuni_subsp_jejuni_2008_1025,377,67
Campylobacter_jejuni_subsp_jejuni_2008_831,427,69
Campylobacter_jejuni_subsp_jejuni_2008_894,320,56
Campylobacter_jejuni_subsp_jejuni_2008_988,373,74
Campylobacter_jejuni_subsp_jejuni_260_94,388,67
Campylobacter_jejuni_subsp_jejuni_414,259,55
Campylobacter_jejuni_subsp_jejuni_51037,398,60
Campylobacter_jejuni_subsp_jejuni_53161,338,63
Campylobacter_jejuni_subsp_jejuni_55037,436,62
Campylobacter_jejuni_subsp_jejuni_60004,367,57
Campylobacter_jejuni_subsp_jejuni_6399,419,79
Campylobacter_jejuni_subsp_jejuni_81116,342,48
Campylobacter_jejuni_subsp_jejuni_84_25,408,72
Campylobacter_jejuni_subsp_jejuni_86605,440,64
Campylobacter_jejuni_subsp_jejuni_87330,368,67
Campylobacter_jejuni_subsp_jejuni_CF93_6,427,77
Campylobacter_jejuni_subsp_jejuni_CG8421,359,62
Campylobacter_jejuni_subsp_jejuni_CG8486,254,42
Campylobacter_jejuni_subsp_jejuni_D2600,418,66
Campylobacter_jejuni_subsp_jejuni_DFVF1099,304,49
Campylobacter_jejuni_subsp_jejuni_H22082,362,69
Campylobacter_jejuni_subsp_jejuni_HB93_13,344,54
Campylobacter_jejuni_subsp_jejuni_IA3902,343,60
Campylobacter_jejuni_subsp_jejuni_ICDCCJ07001,236,44
Campylobacter_jejuni_subsp_jejuni_ICDCCJ07002,336,64
Campylobacter_jejuni_subsp_jejuni_LMG_23210,404,58
Campylobacter_jejuni_subsp_jejuni_LMG_23211,349,68
Campylobacter_jejuni_subsp_jejuni_LMG_23216,312,49
Campylobacter_jejuni_subsp_jejuni_LMG_23218,379,67
Campylobacter_jejuni_subsp_jejuni_LMG_23223,336,60
Campylobacter_jejuni_subsp_jejuni_LMG_23264,358,55
Campylobacter_jejuni_subsp_jejuni_LMG_23269,399,57
Campylobacter_jejuni_subsp_jejuni_LMG_23357,416,58
Campylobacter_jejuni_subsp_jejuni_LMG_9081,358,52
Campylobacter_jejuni_subsp_jejuni_LMG_9217,362,58
Campylobacter_jejuni_subsp_jejuni_LMG_9872,359,62
Campylobacter_jejuni_subsp_jejuni_LMG_9879,417,68
Campylobacter_jejuni_subsp_jejuni_NCTC_11168_BN148,370,73
Campylobacter_jejuni_subsp_jejuni_NW,318,58
Campylobacter_jejuni_subsp_jejuni_P110B,370,69
Campylobacter_jejuni_subsp_jejuni_P854,317,55
Campylobacter_jejuni_subsp_jejuni_PT14,405,61
Campylobacter_jejuni_subsp_jejuni_RB922,394,73
Campylobacter_jejuni_subsp_jejuni_S3,330,66
Campylobacter_jejuni_subsp_jejuni_xy259,427,71
Campylobacter_lari_RM2100,374,61
Campylobacter_rectus_RM3267,443,78
Campylobacter_showae_CSUNSWCD,375,55
Campylobacter_showae_RM3277,438,57
Campylobacter_sp_10_1_50,302,66
Campylobacter_sputorum_bv_faecalis_CCUG_20703,262,67
Campylobacter_subantarcticus_LMG_24374,301,57
Campylobacter_subantarcticus_LMG_24377,280,54
Campylobacter_troglodytis_MIT_05_9149A,301,69
Campylobacter_upsaliensis_JV21,331,49
Campylobacter_upsaliensis_RM3195,423,84
Campylobacter_ureolyticus_ACS_301_V_Sch3b,245,45
Campylobacter_ureolyticus_CIT007,232,46
Campylobacter_ureolyticus_RIGS_9880,243,49
Campylobacter_ureolyticus_UMB0112,228,49
Candidatus_Dorea_massiliensis_AP6,404,104
Candidatus_Nitrososphaera_gargensis_Ga9_2,489,107
Candidatus_Pelagibacter_sp_IMCC9063,422,74
Candidatus_Saccharimonas_aalborgensis,176,21
Candidatus_Soleaferrea_massiliensis_AP7,385,105
Capnocytophaga_granulosa_ATCC_51502,397,77
Capnocytophaga_leadbetteri_DSM_22902,277,72
Capnocytophaga_ochracea_DSM_7271,438,105
Capnocytophaga_ochracea_F0287,430,102
Capnocytophaga_ochracea_str_Holt_25,397,103
Capnocytophaga_sp_CM59,334,106
Capnocytophaga_sp_oral_taxon_326_str_F0382,329,83
Capnocytophaga_sp_oral_taxon_329_str_F0087,340,77
Capnocytophaga_sp_oral_taxon_332_str_F0381,345,69
Capnocytophaga_sp_oral_taxon_335_str_F0486,335,86
Capnocytophaga_sp_oral_taxon_336_str_F0502,336,96
Capnocytophaga_sp_oral_taxon_338_str_F0234,344,93
Capnocytophaga_sp_oral_taxon_412_str_F0487,323,81
Capnocytophaga_sputigena_ATCC_33612,412,87
Cardiobacterium_hominis_612_ETAR_1001_5485_127101,330,70
Cardiobacterium_valvarum_F0432,311,74
Carnobacterium_maltaromaticum_ATCC_35586,403,104
Carnobacterium_maltaromaticum_DSM_20342,393,99
Carnobacterium_maltaromaticum_DSM_20722,387,104
Carnobacterium_maltaromaticum_LMA28,416,102
Catabacter_hongkongensis_HKU16,451,121
Catenibacterium_mitsuokai_DSM_15897,402,88
Catonella_morbi_ATCC_51271,381,100
Cedecea_davisae_DSM_4568,473,101
Cellulomonas_massiliensis_JC225,364,72
Cellulomonas_massiliensis_MGYG_HGUT_01416,344,63
Cellulomonas_timonensis_DSM_100699,433,129
Cellulosilyticum_lentocellum_DSM_5427,381,111
Cellulosimicrobium_cellulans_J36,463,106
Centipeda_periodontii_DSM_2778,418,82
Cetobacterium_somerae_ATCC_BAA_47401,432,88
Chlorobium_phaeobacteroides_DSM_266,353,76
Christensenella_massiliensis_Marseille_P2438,429,110
Christensenella_minuta_DSM_22607,432,116
Christensenella_timonensis_DSM_102800,533,151
Citrobacter_amalonaticus_FDAARGOS_122,364,96
Citrobacter_amalonaticus_FDAARGOS_166,348,91
Citrobacter_amalonaticus_Y19,394,66
Citrobacter_amalonaticus_YG6,354,93
Citrobacter_amalonaticus_YG8,386,98
Citrobacter_freundii_4_7_47CFAA,449,71
Citrobacter_freundii_ATCC_8090,419,94
Citrobacter_freundii_FDAARGOS_61,387,97
Citrobacter_freundii_FDAARGOS_73,345,95
Citrobacter_freundii_GTC_09479,455,87
Citrobacter_freundii_GTC_09629,469,93
Citrobacter_freundii_UCI_31,403,69
Citrobacter_freundii_str_ballerup_7851_39,473,89
